Condition,Regressor,ROI,Seed,Uncorrected_pvalue,Significant,T_stats,df,Avg_peak_sec,Peak_search_window,Mean,SD,p_wilcoxon,zval_wilcoxon,signedrank_wilcoxon,Full_model,Peak_vals_1,Peak_vals_2,Peak_vals_3,Peak_vals_4,Peak_vals_5,Peak_vals_6,Peak_vals_7,Peak_vals_8,Peak_vals_9,Peak_vals_10,Peak_vals_11,Peak_vals_12,Peak_vals_13,Peak_vals_14,Peak_vals_15,Peak_vals_16,Peak_vals_17,Peak_vals_18,Peak_vals_19,Peak_vals_20,Peak_vals_21,Peak_vals_22,Peak_vals_23
vigilance_firstChecks_constant_plus_firstForages,switchToCheck,HB,ACC_cluster_cope7,6.95E-07,1,6.854280233,22,4.780346821,0.06s-4.98s,0.081661021,0.057136926,4.03E-05,4.106018687,273,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.02781532,0.081465928,0.066766492,0.177868145,0.092615279,0.08223837,0.155910646,0.090702554,0.041415229,0.152935104,0.018018493,0.095825678,-0.003370259,0.040549326,0.051442308,0.042075899,0.021496189,-0.001445553,0.0889378,0.167931843,0.183062532,0.06844124,0.13550493
vigilance_firstChecks_constant_plus_firstForages,timepressure,HB,ACC_cluster_cope7,0.000674448,1,3.954139183,22,4.976878613,0.06s-4.98s,0.058311048,0.070723349,0.0012642,3.223985043,244,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.030948961,-0.020732674,0.066937163,0.010938545,-0.008886653,0.046844731,0.222700588,-0.019086484,0.099843301,0.078732494,0.074032446,0.208574347,0.074084111,0.079777536,-0.005109503,-0.048025753,-0.003035057,0.16168278,0.109682448,0.022812885,0.072901185,0.003965828,0.081570887
vigilance_firstChecks_constant_plus_firstForages,time,HB,ACC_cluster_cope7,0.265275845,0,1.14312104,22,2.520231214,0.06s-4.98s,0.014319263,0.060074805,0.287091676,1.064523363,173,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.030416271,-0.047232507,0.098053363,0.00048397,0.055895727,0.003841937,-0.090075499,-0.035285687,-0.06566124,0.095107552,-0.055309641,0.082658653,-0.058302442,0.015058961,0.052292462,0.051743803,-0.008900669,0.092725975,-0.026632135,0.110223079,0.025744026,-0.002649237,0.065978873
vigilance_firstChecks_constant_plus_firstForages,reward,HB,ACC_cluster_cope7,0.010310406,1,2.805312124,22,1.439306358,0.06s-4.98s,0.033352475,0.057017845,0.008142552,2.646100931,225,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.046862351,0.057321864,0.026074604,0.076895017,-0.036227517,0.062928399,0.009700477,0.006620652,0.054965881,0.085598781,0.055354072,0.088026243,0.097082737,0.021389107,0.078350584,0.081116881,-0.065443572,0.000335287,-0.044970501,-0.127721027,0.087977762,0.051108973,0.053759877
vigilance_firstChecks_constant_plus_firstForages,seedTC,HB,ACC_cluster_cope7,1.16E-06,1,6.624815835,22,3.601156069,0.06s-4.98s,0.152865496,0.110662271,0.000162299,3.771454201,262,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.075741906,0.313443438,0.118679088,0.188501587,0.207227073,0.11643301,0.14566908,0.213328306,0.186161754,0.106023025,0.24656995,0.032751651,0.145599187,-0.170701822,0.097393515,0.169019761,0.2082228,0.406721661,0.278064275,0.084952762,0.100240901,0.110685561,0.135177945
vigilance_firstChecks_constant_plus_firstForages,constant,HB,ACC_cluster_cope7,0.050802041,0,-2.066004411,22,4.976878613,0.06s-4.98s,-0.025819636,0.059935315,0.077720651,-1.764067288,80,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.060244193,0.009630364,-0.10880444,0.017855388,-0.130311075,-0.055879938,0.015759979,-0.009243765,-0.004273574,-0.072695142,-0.006554296,-0.107472506,0.032883546,-0.077821968,0.075071805,-0.044425313,0.059527198,0.031410297,-0.064208494,0.058084513,-0.016266123,-0.018538237,-0.117335652
vigilance_firstChecks_constant_plus_firstForages,PPI1_seedTCXswitchToCheck,HB,ACC_cluster_cope7,0.058797039,0,-1.99310567,22,1.930635838,0.06s-4.98s,-0.018927302,0.04554307,0.055347017,-1.916142054,75,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.019312158,-0.018923086,0.039372778,0.056060764,0.011295936,-0.043246772,0.056785249,-0.07730906,0.053066403,-0.056558325,-0.031781555,-0.014990157,-0.014832591,-0.061796764,0.055812241,-0.074952825,0.014245022,-0.05388395,-0.063458291,-0.037307483,-0.038150793,-0.074763946,-0.040698577
vigilance_firstChecks_constant_plus_firstForages,PPI2_seedTCXtimepressure,HB,ACC_cluster_cope7,0.148835038,0,1.496105446,22,1.832369942,0.06s-4.98s,0.015574803,0.049925714,0.223757155,1.216598129,178,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.051691227,0.098042759,0.047628576,-0.010878324,0.02452827,0.030138769,0.041741909,-0.021507113,-0.013940718,-0.049821116,0.008409003,-0.043589375,0.039709951,0.139756568,-0.001677271,0.063174249,-0.008653127,0.029899727,0.007858472,0.056984278,-0.043564507,-0.07745358,-0.01025815
vigilance_firstChecks_constant_plus_firstForages,PPI3_switchToCheckXtimepressure,HB,ACC_cluster_cope7,0.000921622,1,3.825757034,22,4.682080925,0.06s-4.98s,0.04690526,0.058798749,0.002354062,3.041495323,238,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.083438472,0.063576804,0.066143689,0.132588252,0.045911911,-0.018031997,-0.041866616,-0.007683067,0.047540342,0.136238157,-0.014137539,-0.059059951,0.011767006,0.157047182,0.00727064,0.04132547,0.023409944,0.09096443,0.027700307,0.093014085,0.129882976,0.004736701,0.05704379
vigilance_firstChecks_constant_plus_firstForages,PPI4_seedTCXswitchToCheckXtimepressure,HB,ACC_cluster_cope7,0.528529071,0,-0.640396615,22,1.242774566,0.06s-4.98s,-0.014671503,0.109872621,0.273543661,-1.094938316,102,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.021532534,0.06404346,0.056605137,0.059891318,-0.03571719,0.02316774,-0.01436463,-0.021342729,-0.015500136,-0.138249438,-0.020818522,0.017614104,-0.041743294,-0.295387913,0.1630241,0.290968506,-0.061053196,-0.07192225,-0.037255774,-0.128908853,-0.084013001,-0.027145132,-0.040869397
vigilance_firstChecks_constant_plus_firstForages,switchToCheck,HB,ACC_cluster_cope7,1.83E-07,1,7.464317293,22,4.976878613,4.98s-9.99s,0.084359554,0.0542011,2.70E-05,4.197263546,276,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.021188815,0.082670176,0.067672441,0.174072971,0.082011592,0.074124964,0.145290614,0.089680954,0.052523072,0.160443077,0.024663237,0.089627892,0.007616223,0.039850458,0.091477253,0.04128757,0.034137135,0.016313498,0.095587246,0.179731567,0.181279813,0.060487308,0.128531864
vigilance_firstChecks_constant_plus_firstForages,timepressure,HB,ACC_cluster_cope7,3.84E-05,1,5.131121742,22,5.76300578,4.98s-9.99s,0.069566396,0.065020619,5.95E-05,4.014773827,270,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.013780096,0.006675693,0.061448291,0.024114716,0.035182557,0.030584971,0.190302087,0.012884089,0.049951508,0.125315162,0.108473319,0.261219785,0.089747805,0.099904562,0.040380541,-0.01765833,0.024204822,0.075381439,0.093950254,0.066268004,0.129161697,0.082514256,-0.003760227
vigilance_firstChecks_constant_plus_firstForages,time,HB,ACC_cluster_cope7,0.79373346,0,0.264662222,22,8.710982659,4.98s-9.99s,0.003223874,0.058418446,0.715126755,0.364979439,150,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.065108766,-0.043273831,0.047626133,0.000313874,0.000585965,0.015648889,-0.014223916,-0.035859649,0.103003403,0.066554663,0.030285946,-0.016421147,-0.06515054,-0.060218411,0.042762967,-0.064103215,0.068533287,-0.08543291,-0.023708224,-0.08555292,0.093045735,0.072250369,-0.037626135
vigilance_firstChecks_constant_plus_firstForages,reward,HB,ACC_cluster_cope7,0.866693788,0,-0.169832652,22,8.710982659,4.98s-9.99s,-0.001944273,0.054903491,0.879127966,-0.152074766,133,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.012689149,-0.032309208,0.035513838,0.017793984,-0.003974977,0.094537316,-0.065039336,0.05929786,-0.028137732,-0.066227257,0.02949994,0.019705562,-0.021491116,-0.010569664,0.068116196,-0.02362306,-0.030140126,0.015820886,-0.042708103,0.0046166,0.090913603,-0.152837825,0.009213488
vigilance_firstChecks_constant_plus_firstForages,seedTC,HB,ACC_cluster_cope7,2.77E-08,1,8.369209997,22,9.988439306,4.98s-9.99s,0.210697128,0.120736357,4.59E-05,4.075603733,272,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.059673394,0.375507228,0.187140458,0.13754925,0.243008254,0.155745425,0.286874129,0.273198587,0.270401137,0.031474345,0.22260197,0.320219982,0.078002533,-0.121528215,0.341934567,0.346265027,0.203565349,0.403664687,0.231112588,0.226339362,0.201429491,0.172086066,0.199768334
vigilance_firstChecks_constant_plus_firstForages,constant,HB,ACC_cluster_cope7,0.008132227,1,-2.909176214,22,6.549132948,4.98s-9.99s,-0.030036694,0.049516052,0.011588242,-2.524441118,55,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.084178657,-0.018777865,-0.096732713,-0.052261645,-0.032407678,-0.002624301,-0.083098233,-0.014242357,-0.038633781,-0.114317294,0.027077739,-0.06368832,-0.034131776,0.056855531,0.038159754,-0.032741633,0.009584403,0.057989859,-0.073642281,-0.019596861,-0.075738462,-0.070683088,0.026985706
vigilance_firstChecks_constant_plus_firstForages,PPI1_seedTCXswitchToCheck,HB,ACC_cluster_cope7,0.085693229,0,1.799366705,22,9.202312139,4.98s-9.99s,0.020431691,0.054456353,0.171101546,1.368672896,183,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.02582062,0.025960915,0.04126575,-0.055153117,0.106273879,0.060776969,0.034343152,-0.047865503,-0.048955896,0.067561235,0.047010309,0.021041912,-0.077732418,0.136145702,-0.021313518,0.039922737,-0.056788536,0.031468302,0.066586913,0.037359818,0.033794674,0.039074913,-0.036669919
vigilance_firstChecks_constant_plus_firstForages,PPI2_seedTCXtimepressure,HB,ACC_cluster_cope7,0.077592896,0,1.851331986,22,8.710982659,4.98s-9.99s,0.032777589,0.084909567,0.082979789,1.733652334,195,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.071782278,0.28372741,0.00758447,0.057718579,-0.010043801,0.008991731,0.064504396,0.032902233,-0.089207087,0.026638668,0.030866424,-0.094319736,-0.045779667,0.165224899,0.123048677,0.091408792,-0.054657963,0.00974285,0.040857132,0.013230202,-0.002162868,-0.067434379,0.089261317
vigilance_firstChecks_constant_plus_firstForages,PPI3_switchToCheckXtimepressure,HB,ACC_cluster_cope7,0.000371314,1,4.198769616,22,4.976878613,4.98s-9.99s,0.049052233,0.056027424,0.000820915,3.345644856,248,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.101287286,0.051108474,0.068981171,0.112053003,0.038230074,-0.009083962,0.014153968,-0.020423804,0.073293384,0.124354376,-0.013557204,-0.034128436,0.004919254,0.188933175,0.012957147,0.032326545,0.015102674,0.099195537,0.025641272,0.079276903,0.121296959,0.008511861,0.033771712
vigilance_firstChecks_constant_plus_firstForages,PPI4_seedTCXswitchToCheckXtimepressure,HB,ACC_cluster_cope7,0.001396165,1,-3.654273472,22,9.005780347,4.98s-9.99s,-0.040278126,0.052860605,0.003175164,-2.950250464,41,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.071366055,-0.184248249,-0.062719341,-0.067013105,-0.107856176,-0.056197707,0.00369042,-0.006225971,-0.01888689,0.00452397,-0.105959965,0.012302204,-0.045232304,-0.083671847,-0.057327283,-0.02861298,0.012463736,-0.041362946,0.022091665,-0.083348918,0.002656609,0.046389183,-0.010484954
vigilance_firstChecks_constant_plus_firstForages,switchToCheck,DRN_sub_PAG_edit_sub_SC_edit_ero,ACC_cluster_cope7,0.021891636,1,2.466865616,22,2.323699422,0.06s-4.98s,0.041035604,0.079777286,0.028533185,2.189876633,210,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.027443763,-0.022791126,0.135166658,0.085649572,0.110512124,-0.016880802,0.041912871,0.059967717,-0.07593424,0.099989509,0.100830817,-0.002291146,-0.017293414,0.032172076,-0.030025662,0.133462367,-0.003295276,0.01342131,0.221977696,0.035297982,-0.121412531,0.048642741,0.142183417
