Condition,Regressor,ROI,Seed,Uncorrected_pvalue,Significant,T_stats,df,Avg_peak_sec,Peak_search_window,Mean,SD,p_wilcoxon,zval_wilcoxon,signedrank_wilcoxon,Full_model,Peak_vals_1,Peak_vals_2,Peak_vals_3,Peak_vals_4,Peak_vals_5,Peak_vals_6,Peak_vals_7,Peak_vals_8,Peak_vals_9,Peak_vals_10,Peak_vals_11,Peak_vals_12,Peak_vals_13,Peak_vals_14,Peak_vals_15,Peak_vals_16,Peak_vals_17,Peak_vals_18,Peak_vals_19,Peak_vals_20,Peak_vals_21,Peak_vals_22,Peak_vals_23
vigilance_firstChecks_constant_plus_firstForages,switchToForage,SN_Pauli,HB,9.97E-05,1,-4.73754093,22,3.404624277,0.06s-4.98s,-0.093180173,0.09432666,6.77E-05,-3.984358874,7,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.037726842,-0.080702809,-0.093095,-0.134785153,-0.356804947,-0.042098808,-0.042687736,-0.153957829,-0.014832734,-0.239706204,-0.049873198,-0.003767878,0.03898224,-0.024920557,-0.003444647,-0.071757373,-0.062344252,-0.062645172,-0.151497114,-0.221953991,-0.015968234,-0.095998877,-0.221556863
vigilance_firstChecks_constant_plus_firstForages,timepressure,SN_Pauli,HB,9.05E-07,1,6.736068205,22,3.895953757,0.06s-4.98s,0.103947751,0.074006956,5.95E-05,4.014773827,270,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,0.032017676,0.19593202,0.144717051,0.094402184,0.221240931,0.115877387,0.085188824,-0.024089369,0.207650889,0.138744432,0.120442382,0.020313173,0.229877847,0.068037247,0.081988653,-0.007573655,0.021801141,0.126992988,0.186024244,0.061459083,0.013540687,0.127868031,0.128344427
vigilance_firstChecks_constant_plus_firstForages,time,SN_Pauli,HB,0.993926884,0,0.007698559,22,2.421965318,0.06s-4.98s,7.24E-05,0.045099157,0.903168441,0.121659813,142,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,0.022946691,-0.051962726,-0.053472214,0.039652098,-0.014637385,-0.002899296,0.020812397,0.032001939,0.026491463,-0.0672049,-0.018923391,-0.042977783,-0.005241659,-0.073295002,0.039319745,0.050659181,0.041469138,-0.097858769,0.036909327,-0.005902554,0.029349985,0.059814664,0.036614157
vigilance_firstChecks_constant_plus_firstForages,reward,SN_Pauli,HB,0.017509376,1,-2.568882697,22,2.913294798,0.06s-4.98s,-0.026087627,0.048702832,0.019183213,-2.341951399,61,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.062386867,-0.144326052,0.064606669,-0.064461819,-0.006851999,-0.018729723,-0.055822689,0.054533191,-0.009473303,0.024072974,-0.055153245,0.01014674,-0.079558194,0.007846035,-0.074746393,-0.017828689,-0.026162967,0.032605861,-0.067974433,-0.04225,-0.062400745,-0.01071079,0.005011027
vigilance_firstChecks_constant_plus_firstForages,seedTC,SN_Pauli,HB,0.26639572,0,1.140368949,22,3.306358382,0.06s-4.98s,0.032621628,0.13719054,0.411530228,0.821203737,165,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.01938443,0.108548547,-0.120211103,-0.009753008,-0.184384906,0.00089932,0.134818852,0.222459755,-0.015680493,0.078840936,0.028412871,-0.12264973,0.008114277,-0.123645459,-0.030236966,0.039988443,0.32699372,0.322493201,-0.128636967,0.076100318,0.178387139,-0.058986593,0.037809722
vigilance_firstChecks_constant_plus_firstForages,constant,SN_Pauli,HB,0.681809111,0,0.415488167,22,3.208092486,0.06s-4.98s,0.00422504,0.048768123,0.927298031,-0.09124486,135,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.024548178,-0.037291996,0.119912437,-0.009842463,-0.01981264,-0.0319791,0.008868926,-0.023216271,-0.053638949,0.040496248,0.02179379,-0.042777766,0.024376219,0.029441982,0.029803581,-0.042859122,0.089569295,-0.003770151,-0.044422552,0.086054751,-0.011501689,-0.056880123,0.049399681
vigilance_firstChecks_constant_plus_firstForages,PPI1_seedTCXswitchToForage,SN_Pauli,HB,0.706608332,0,-0.381340937,22,1.341040462,0.06s-4.98s,-0.003642247,0.045805735,0.670246777,-0.425809345,124,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,0.082521656,-0.040566233,0.083878946,-0.035077445,-0.014434354,-0.019468409,-0.041658719,0.033189719,0.044907943,-0.04030631,-0.058031377,0.040812564,-0.040349803,-0.013555081,0.035663552,-0.07202279,-0.059284773,-0.024359349,0.017535102,-0.033092882,-0.002518027,0.061042231,0.011402162
vigilance_firstChecks_constant_plus_firstForages,PPI2_seedTCXtimepressure,SN_Pauli,HB,0.005589466,1,3.071130887,22,0.456647399,0.06s-4.98s,0.03559203,0.055579975,0.011588242,2.524441118,221,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.02836286,0.03749191,0.052013493,0.027433933,0.055833031,-0.009361712,0.047101853,0.070556414,0.076568485,0.152101091,0.041617198,0.043230471,-0.006212548,0.066474674,-0.075539148,0.052425597,0.132609636,-0.003892812,-0.054729266,-0.017847641,-0.006419194,0.061998505,0.103525571
vigilance_firstChecks_constant_plus_firstForages,PPI3_switchToForageXtimepressure,SN_Pauli,HB,0.007919194,1,-2.920724425,22,3.404624277,0.06s-4.98s,-0.0329051,0.054030196,0.012630323,-2.494026165,56,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.048612149,0.063332531,0.009655343,-0.069919389,-0.085681136,-0.108668038,0.051278766,0.017515738,-0.060320885,-0.044297509,-0.091915744,-0.037814013,-0.033061385,-0.086569609,0.013379251,0.018441497,-0.08289561,-0.036150706,0.067348348,-0.016521844,-0.04374117,-0.124312387,-0.027287188
vigilance_firstChecks_constant_plus_firstForages,PPI4_seedTCXswitchToForageXtimepressure,SN_Pauli,HB,0.360267208,0,-0.934348131,22,3.895953757,0.06s-4.98s,-0.014528562,0.074572348,0.394425762,-0.851618691,110,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.007786323,-0.17352866,-0.021855756,0.041779025,0.153752143,0.048557733,0.06981384,0.008655681,-0.104333335,0.051153455,-0.034016265,-0.103168434,-0.037417048,-0.06322097,-0.105485559,-0.011713593,0.022393874,0.033664207,-0.033883627,-0.09882505,0.01630088,-0.05944159,0.074448454
vigilance_firstChecks_constant_plus_firstForages,switchToForage,SN_Pauli,HB,0.009132838,1,2.858533114,22,7.23699422,4.98s-9.99s,0.032511732,0.054545735,0.004249713,2.859005604,232,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.051029959,0.125811802,0.040679559,0.084558158,-0.141191418,0.033259198,0.057296609,0.022546812,0.049843626,0.011714978,0.050451248,-0.013874511,0.019302956,-0.017021001,0.089044789,0.093113373,0.057201098,0.001246717,0.041740607,0.059723257,0.048424608,0.026006149,0.058921181
vigilance_firstChecks_constant_plus_firstForages,timepressure,SN_Pauli,HB,1.23E-05,1,5.607095312,22,4.976878613,4.98s-9.99s,0.094196117,0.080567331,0.000206749,3.710624295,260,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,0.04693692,0.155962059,0.085624416,0.08881504,0.099390925,0.073581714,0.16542763,-0.021970444,0.208413143,0.216415101,-0.004252881,0.025184322,0.201885968,0.12220166,0.170732669,-0.047485914,-0.020498986,0.094716331,0.138529096,0.007958103,0.03173202,0.143770144,0.183441645
vigilance_firstChecks_constant_plus_firstForages,time,SN_Pauli,HB,0.003665583,1,3.25075598,22,9.988439306,4.98s-9.99s,0.049169268,0.072539289,0.005644287,2.767760744,229,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,0.02843036,0.130776748,0.038134933,0.032922884,0.004523156,0.027740825,0.080431791,-0.023084127,-0.012061285,0.157429873,-0.045712149,0.048260637,0.123807434,0.064140402,0.09846183,-0.035903215,0.029469639,0.107598216,0.001396658,0.164384765,0.117828483,0.118362956,-0.126447645
vigilance_firstChecks_constant_plus_firstForages,reward,SN_Pauli,HB,0.007396071,1,2.950394432,22,9.988439306,4.98s-9.99s,0.035363054,0.05748223,0.017674556,2.372366352,216,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.008152019,0.01076339,-0.079374851,0.026681582,-0.009853884,0.070057121,-0.003195188,0.048248691,0.148974133,0.094644037,0.08420025,0.086876168,0.078247567,-0.000251072,0.021932116,-0.044501975,0.086838157,-0.035557707,-0.014193767,0.108522899,-0.000406504,0.09933491,0.043516193
vigilance_firstChecks_constant_plus_firstForages,seedTC,SN_Pauli,HB,0.008868205,1,2.871390922,22,9.89017341,4.98s-9.99s,0.084635195,0.141358717,0.011588242,2.524441118,221,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,0.110247381,0.192760509,-0.052835022,-0.006499669,-0.051304594,0.09438302,0.161047932,0.23439247,0.064861282,0.06641188,0.079924547,-0.119063419,0.153172484,-0.090700784,0.029441453,-0.047599654,0.416803225,0.376981198,-0.115073476,0.111667407,0.156901511,0.008784369,0.17190544
vigilance_firstChecks_constant_plus_firstForages,constant,SN_Pauli,HB,0.000101831,1,-4.728674649,22,6.156069364,4.98s-9.99s,-0.044424354,0.045055271,0.000735319,-3.376059809,27,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.074074368,-0.064254558,-0.036730476,0.004730175,-0.081369244,-0.040043068,-0.097719602,-0.052447474,-0.020717213,-0.052290068,-0.086427019,-0.051426253,0.024616771,-0.003921169,-0.037104999,-0.099358527,0.032392572,-0.031518307,0.052791503,-0.09022132,-0.069520782,-0.024775899,-0.122370828
vigilance_firstChecks_constant_plus_firstForages,PPI1_seedTCXswitchToForage,SN_Pauli,HB,0.227439571,0,1.241654176,22,9.988439306,4.98s-9.99s,0.018440389,0.071225146,0.361532617,0.912448597,168,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,0.003917762,-0.033222881,-0.067147176,0.013580037,-0.050460393,0.011601141,0.004733633,-0.001886312,0.034612222,0.163179983,0.07145343,0.013996212,0.10899172,-0.01864046,0.018488812,0.016998088,-0.023218184,0.171888079,-0.058027516,-0.110999632,0.034983074,0.133173146,-0.013865831
vigilance_firstChecks_constant_plus_firstForages,PPI2_seedTCXtimepressure,SN_Pauli,HB,0.741346984,0,0.334262606,22,7.335260116,4.98s-9.99s,0.004930826,0.070745002,0.523008992,0.638714018,159,switchToForage + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToForage + PPI2_seedTCXtimepressure + PPI3_switchToForageXtimepressure + PPI4_seedTCXswitchToForageXtimepressure,-0.060148999,-0.150132448,0.028615564,-0.044645749,0.105231063,-0.004310503,0.047403598,0.095846713,0.004854193,-0.042456005,-0.002967242,-0.146606449,-0.061528488,0.063410071,0.060656475,-0.031693945,0.004090896,-0.037129301,0.026584969,0.115254314,0.022618636,0.070206772,0.050254852
