ParticipantID,ROI,Cope number,Phase,Action,Regressor,Value
sub103,DRN,1,post,firstCheck,Constant,0.2298
sub103,DRN,2,post,firstCheck,TimeSinceLastCheck,0.3826
sub103,DRN,3,post,firstCheck,Proximity,0.2873
sub103,DRN,4,post,firstCheck,Reward,0.8362
sub103,DRN,5,post,firstForage,Constant,0.3
sub103,DRN,6,post,firstForage,TimeSinceLastCheck,0.1781
sub103,DRN,7,post,firstForage,Proximity,0.4714
sub103,DRN,8,post,firstForage,Reward,-0.1198
sub103,DRN,9,post,Hide,Constant,-1.0388
sub103,DRN,10,post,Hide,TimeSinceLastCheck,0.2564
sub103,DRN,11,post,Hide,Proximity,0.2583
sub103,DRN,12,post,Hide,Reward,-0.1604
sub103,DRN,14,pre,SuccessfulFirstCheck,ThreatLevel,-0.1946
sub103,DRN,15,pre,firstCheck,Reward,0.0734
sub103,DRN,16,pre,firstCheck,TimePressure,0.7134
sub103,DRN,18,pre,firstForage,Reward,-0.4437
sub103,DRN,19,pre,firstForage,TimePressure,-0.3977
sub103,DRN,20,pre,firstCheck,Constant,-0.3936
sub103,DRN,21,pre,firstForage,Constant,0.1502
sub103,DRN,70,pre_plus_post,firstForage,Reward,-0.3235
sub103,DRN,73,post,firstCheck,ThreatLevel,-0.1978
sub103,DRN,74,pre_plus_post,firstCheck,ThreatLevel,-0.2704
sub103,DRN,63,pre,firstForage_minus_firstCheck,Reward,-0.3082
sub103,HB,1,post,firstCheck,Constant,0.4891
sub103,HB,2,post,firstCheck,TimeSinceLastCheck,-0.6264
sub103,HB,3,post,firstCheck,Proximity,0.5779
sub103,HB,4,post,firstCheck,Reward,0.4432
sub103,HB,5,post,firstForage,Constant,-0.0943
sub103,HB,6,post,firstForage,TimeSinceLastCheck,-0.9027
sub103,HB,7,post,firstForage,Proximity,0.2324
sub103,HB,8,post,firstForage,Reward,0.0614
sub103,HB,9,post,Hide,Constant,-0.9978
sub103,HB,10,post,Hide,TimeSinceLastCheck,0.1907
sub103,HB,11,post,Hide,Proximity,0.0591
sub103,HB,12,post,Hide,Reward,0.2564
sub103,HB,14,pre,SuccessfulFirstCheck,ThreatLevel,1.2832
sub103,HB,15,pre,firstCheck,Reward,0.0791
sub103,HB,16,pre,firstCheck,TimePressure,0.4804
sub103,HB,18,pre,firstForage,Reward,-0.3457
sub103,HB,19,pre,firstForage,TimePressure,0.2701
sub103,HB,20,pre,firstCheck,Constant,0.017
sub103,HB,21,pre,firstForage,Constant,-0.6394
sub103,HB,70,pre_plus_post,firstForage,Reward,-0.122
sub103,HB,73,post,firstCheck,ThreatLevel,-0.1558
sub103,HB,74,pre_plus_post,firstCheck,ThreatLevel,0.428
sub103,HB,63,pre,firstForage_minus_firstCheck,Reward,-0.2527
sub103,VTA,1,post,firstCheck,Constant,-0.1257
sub103,VTA,2,post,firstCheck,TimeSinceLastCheck,0.9516
sub103,VTA,3,post,firstCheck,Proximity,-0.3785
sub103,VTA,4,post,firstCheck,Reward,0.1907
sub103,VTA,5,post,firstForage,Constant,0.2996
sub103,VTA,6,post,firstForage,TimeSinceLastCheck,-0.3696
sub103,VTA,7,post,firstForage,Proximity,0.7322
sub103,VTA,8,post,firstForage,Reward,0.2383
