,Cluster Index,Voxels,MAX,MAX X (mm),MAX Y (mm),MAX Z (mm),COG X (mm),COG Y (mm),COG Z (mm),zstat,stat_type
0,1,116,6.08,-12,-98,16,-10.3,-99.1,6.9,1,activation
1,1,72,4.2,20,-20,-12,24,-14.4,-16.5,1,deactivation
2,10,984,6.41,-36,-64,52,-43.4,-64.4,40.3,1,deactivation
3,11,1357,5.4,-46,36,20,-42.7,36.5,1.66,1,deactivation
4,12,1417,5.2,42,-68,-40,28.2,-75.5,-34.1,1,deactivation
5,13,1768,6.39,-66,-36,4,-58.5,-31.1,-6.25,1,deactivation
6,14,3465,5.79,-14,36,46,-5.73,45.4,26.6,1,deactivation
7,15,4351,6.81,-10,-46,36,-0.162,-57.7,25.7,1,deactivation
8,2,170,5.26,-14,-54,-52,-12.1,-51.8,-50.5,1,activation
9,2,111,4.95,64,-14,-6,63.1,-7.94,-9.69,1,deactivation
10,3,550,6.17,32,32,38,33.4,39.3,33.4,1,activation
11,3,113,4.46,4,-46,-38,1.81,-49.8,-44.4,1,deactivation
12,4,780,5.57,4,-30,-2,3.35,-20.3,-0.291,1,activation
13,4,121,4.49,-14,-62,-8,-13.4,-65.9,-6.33,1,deactivation
14,5,1043,6.29,-44,14,-2,-40.9,14.3,10.8,1,activation
15,5,245,4.96,-24,-18,-16,-24.5,-11.6,-15.9,1,deactivation
16,6,2821,8.32,34,-78,-12,20.4,-59.3,-19.1,1,activation
17,6,306,5.07,42,28,-12,37.4,38.7,-10.8,1,deactivation
18,7,17349,8.5,-12,-62,60,0.431,-31,40,1,activation
19,7,377,5.65,68,-34,-4,62.9,-39,-5.62,1,deactivation
20,8,385,6.38,54,-62,32,43.2,-62.8,41.9,1,deactivation
21,9,778,5.27,-38,-74,-36,-30.5,-76.2,-34.5,1,deactivation
22,1,59,4.23,6,-88,4,9.11,-88.3,5.69,2,activation
23,2,88,5.01,40,-80,4,37.8,-82.7,8.74,2,activation
24,3,109,4.47,26,-38,-16,31.6,-48.9,-15,2,activation
