,Unnamed: 0,Phase,ActionType,TransitionType,RT,ParticipantID,envIndex,predatorTotal_currEnv,timeInCurrEnv,tpEpoch,noOfCones,predatorSpeed,timePressure,rewAvail_currTP,firstActionPostDisc,NForageBeforeCheck,NCheckBeforeForage
0,0,Pre,check,Check-to-check,20,sub103,2,3,55582,,3,20,0.290844444,28,,,1
1,0,Pre,check,Check-to-check,61,sub103,2,3,55062,,3,20,0.267733333,28,,,2
2,0,Pre,check,Check-to-check,-144,sub103,2,3,54501,,3,20,0.2428,22,,,3
3,0,Pre,check,Check-to-check,221,sub103,3,1,5158,,1,20,0.032044444,25,,,1
4,0,Pre,check,Check-to-check,-144,sub103,3,2,38937,,1,20,0.015822222,32,,,1
5,0,Pre,check,Check-to-check,224,sub103,4,1,2067,,3,15,0.117657143,31,,,1
6,0,Pre,check,Check-to-check,125,sub103,4,1,1343,,3,15,0.076342857,25,,,2
7,0,Pre,check,Check-to-check,210,sub103,4,1,718,,3,15,0.040628571,30,,,3
8,0,Pre,check,Check-to-check,178,sub103,4,1,8943,,3,15,0.392914286,37,,,1
9,0,Pre,check,Check-to-check,233,sub103,4,1,8265,,3,15,0.471828571,37,,,2
10,0,Pre,check,Check-to-check,284,sub103,4,3,49352,,3,15,0.304685714,18,,,1
11,0,Pre,check,Check-to-check,268,sub103,4,3,48568,,3,15,0.259885714,11,,,2
12,0,Pre,check,Check-to-check,-88,sub103,4,3,47800,,3,15,0.216,9,,,3
13,0,Pre,check,Check-to-check,185,sub103,5,1,1251,,2,20,0.055288889,17,,,1
14,0,Pre,check,Check-to-check,66,sub103,5,2,28918,,2,20,0.173688889,26,,,1
15,0,Pre,check,Check-to-check,233,sub103,5,2,28352,,2,20,0.148533333,26,,,2
16,0,Pre,check,Check-to-check,223,sub103,6,1,1949,,3,10,0.15528,19,,,1
17,0,Pre,check,Check-to-check,170,sub103,6,1,1226,,3,10,0.09744,19,,,2
18,0,Pre,check,Check-to-check,48,sub103,6,1,556,,3,10,0.04384,25,,,3
19,0,Pre,check,Check-to-check,122,sub103,6,1,7580,,3,10,0.45048,20,,,1
20,0,Pre,check,Check-to-check,73,sub103,6,1,6958,,3,10,0.556,19,,,2
21,0,Pre,check,Check-to-check,-148,sub103,6,1,6385,,3,10,0.51016,19,,,3
22,0,Pre,check,Check-to-check,223,sub103,6,2,25739,,3,10,0.37872,39,,,1
23,0,Pre,check,Check-to-check,225,sub103,6,2,25016,,3,10,0.32088,46,,,2
24,0,Pre,check,Check-to-check,-34,sub103,6,2,24291,,3,10,0.26288,46,,,3
25,0,Pre,check,Check-to-check,275,sub103,6,3,45084,,3,10,0.40592,13,,,1
26,0,Pre,check,Check-to-check,219,sub103,6,3,44309,,3,10,0.34392,28,,,2
27,0,Pre,check,Check-to-check,370,sub103,6,4,62020,,3,10,0.39984,29,,,1
28,0,Pre,check,Check-to-check,-33,sub103,6,4,61150,,3,10,0.33024,29,,,2
29,0,Pre,check,Check-to-check,-25,sub103,6,4,60683,,3,10,0.29288,35,,,3
30,0,Pre,check,Check-to-check,223,sub103,6,4,67873,,3,10,0.6132,25,,,1
31,0,Pre,check,Check-to-check,230,sub103,6,4,67150,,3,10,0.55536,25,,,2
32,0,Pre,check,Check-to-check,69,sub103,6,4,66420,,3,10,0.49696,41,,,3
33,0,Pre,check,Check-to-check,-27,sub103,7,3,31702,,1,10,0.03784,3,,,1
34,0,Pre,check,Check-to-check,21,sub103,7,6,83416,,1,10,0.04168,32,,,1
35,0,Pre,check,Check-to-check,224,sub103,8,1,1960,,3,15,0.1116,32,,,1
36,0,Pre,check,Check-to-check,118,sub103,8,1,1236,,3,15,0.070228571,32,,,2
37,0,Pre,check,Check-to-check,111,sub103,8,1,618,,3,15,0.034914286,30,,,3
38,0,Pre,check,Check-to-check,327,sub103,8,4,73025,,3,15,0.286285714,19,,,1
39,0,Pre,check,Check-to-check,268,sub103,8,4,72198,,3,15,0.239028571,19,,,2
40,0,Pre,check,Check-to-check,224,sub103,9,1,2527,,4,10,0.2016,25,,,1
41,0,Pre,check,Check-to-check,167,sub103,9,1,1803,,4,10,0.14368,33,,,2
42,0,Pre,check,Check-to-check,124,sub103,9,1,1136,,4,10,0.09032,33,,,3
43,0,Pre,check,Check-to-check,132,sub103,9,2,20887,,4,10,0.54952,37,,,1
44,0,Pre,check,Check-to-check,117,sub103,9,2,20255,,4,10,0.49896,37,,,2
45,0,Pre,check,Check-to-check,118,sub103,9,2,19638,,4,10,0.4496,37,,,3
46,0,Pre,check,Check-to-check,228,sub103,9,5,77316,,4,10,0.58416,31,,,1
47,0,Pre,check,Check-to-check,268,sub103,9,5,76588,,4,10,0.52592,20,,,2
48,0,Pre,check,Check-to-check,127,sub103,9,5,75820,,4,10,0.46448,39,,,3
49,0,Pre,check,Check-to-check,234,sub103,10,1,2755,,4,20,0.122177778,50,,,1
50,0,Pre,check,Check-to-check,166,sub103,10,1,2021,,4,20,0.089555556,50,,,2
51,0,Pre,check,Check-to-check,182,sub103,10,1,1355,,4,20,0.059955556,35,,,3
52,0,Pre,check,Check-to-check,336,sub103,10,2,33033,,4,20,0.2612,12,,,1
53,0,Pre,check,Check-to-check,375,sub103,10,2,32197,,4,20,0.224044444,12,,,2
54,0,Pre,check,Check-to-check,377,sub103,10,2,31322,,4,20,0.185155556,8,,,3
55,0,Pre,check,Check-to-check,280,sub103,10,3,59651,,4,20,0.249822222,16,,,1
56,0,Pre,check,Check-to-check,216,sub103,10,3,58871,,4,20,0.215155556,12,,,2
57,0,Pre,check,Check-to-check,233,sub103,10,3,58155,,4,20,0.183333333,12,,,3
58,0,Pre,check,Check-to-check,319,sub103,11,1,3043,,4,10,0.24288,13,,,1
59,0,Pre,check,Check-to-check,268,sub103,11,1,2224,,4,10,0.17736,11,,,2
60,0,Pre,check,Check-to-check,131,sub103,11,1,1456,,4,10,0.11592,14,,,3
61,0,Pre,check,Check-to-check,234,sub103,11,1,9298,,4,10,0.67784,25,,,1
62,0,Pre,check,Check-to-check,219,sub103,11,1,8564,,4,10,0.61912,11,,,2
63,0,Pre,check,Check-to-check,222,sub103,11,1,7845,,4,10,0.5616,16,,,3
64,0,Pre,check,Check-to-check,221,sub103,11,2,25694,,4,10,0.4544,59,,,1
65,0,Pre,check,Check-to-check,173,sub103,11,2,24973,,4,10,0.39672,50,,,2
66,0,Pre,check,Check-to-check,121,sub103,11,2,24300,,4,10,0.34288,50,,,3
67,0,Pre,check,Check-to-check,220,sub103,11,3,45777,,4,10,0.37976,34,,,1
68,0,Pre,check,Check-to-check,214,sub103,11,3,45057,,4,10,0.32216,34,,,2
69,0,Pre,check,Check-to-check,221,sub103,11,3,44343,,4,10,0.26504,31,,,3
70,0,Pre,check,Check-to-check,273,sub103,11,4,65112,,4,10,0.48592,7,,,1
71,0,Pre,check,Check-to-check,219,sub103,11,4,64339,,4,10,0.42408,12,,,2
72,0,Pre,check,Check-to-check,224,sub103,11,4,63620,,4,10,0.36656,3,,,3
73,0,Pre,check,Check-to-check,270,sub103,12,1,2201,,3,10,0.17552,14,,,1
74,0,Pre,check,Check-to-check,163,sub103,12,1,1431,,3,10,0.11392,15,,,2
75,0,Pre,check,Check-to-check,216,sub103,12,1,8148,,3,10,0.5904,10,,,1
76,0,Pre,check,Check-to-check,266,sub103,12,1,7432,,3,10,0.53312,28,,,2
77,0,Pre,check,Check-to-check,270,sub103,12,2,23813,,3,10,0.224,44,,,1
78,0,Pre,check,Check-to-check,230,sub103,12,2,23043,,3,10,0.1624,44,,,2
79,0,Pre,check,Check-to-check,119,sub103,12,2,26815,,3,10,0.36016,42,,,1
80,0,Pre,check,Check-to-check,274,sub103,12,3,40663,,3,10,0.292,9,,,1
81,0,Pre,check,Check-to-check,382,sub103,12,3,39889,,3,10,0.23008,20,,,2
82,0,Pre,check,Check-to-check,68,sub103,12,3,39007,,3,10,0.15952,19,,,3
83,0,Pre,check,Check-to-check,231,sub103,12,4,58168,,3,10,0.41176,31,,,1
84,0,Pre,check,Check-to-check,171,sub103,12,4,57437,,3,10,0.35328,22,,,2
