,Phase,ActionType,TransitionType,RT,ParticipantID,envIndex,predatorTotal_currEnv,timeInCurrEnv,tpEpoch,noOfCones,predatorSpeed,timePressure,rewAvail_currTP,firstActionPostDisc,NForageBeforeCheck,NCheckBeforeForage,Unnamed: 0
0,Pre,forage,Forage-to-forage,123.83367139959432,sub103,2,1,4371,,3,20,0.193777777777778,20,,1,,0.0
1,Pre,forage,Forage-to-forage,93.4077079107505,sub103,2,1,3862,,3,20,0.171155555555556,29,,2,,0.0
2,Post,forage,Forage-to-forage,436.61257606490875,sub103,2,1,10071,,3,20,,13,,1,,0.0
3,Pre,forage,Forage-to-forage,47.464503042596334,sub103,2,2,30170,,3,20,0.228844444444444,28,,1,,0.0
4,Pre,forage,Forage-to-forage,62.068965517241395,sub103,2,2,29912,,3,20,0.217377777777778,38,,2,,0.0
5,Pre,forage,Forage-to-forage,143.00202839756594,sub103,2,2,29606,,3,20,0.203777777777778,38,,3,,0.0
6,Pre,forage,Forage-to-forage,124.74645030425967,sub103,2,2,29034,,3,20,0.178355555555556,38,,4,,0.0
7,Pre,forage,Forage-to-forage,93.71196754563897,sub103,2,2,28522,,3,20,0.1556,65,,5,,0.0
8,Pre,forage,Forage-to-forage,347.7687626774848,sub103,2,2,28112,,3,20,0.137377777777778,65,,6,,0.0
9,Pre,forage,Forage-to-forage,48.68154158215009,sub103,2,3,53011,,3,20,0.176577777777778,2,,1,,0.0
10,Pre,forage,Forage-to-forage,63.59026369168356,sub103,2,3,52749,,3,20,0.164933333333333,2,,2,,0.0
11,Pre,forage,Forage-to-forage,278.70182555780934,sub103,2,3,52438,,3,20,0.151111111111111,2,,3,,0.0
12,Pre,forage,Forage-to-forage,78.19472616632862,sub103,2,3,51420,,3,20,0.105866666666667,15,,4,,0.0
13,Pre,forage,Forage-to-forage,96.45030425963489,sub103,2,3,51061,,3,20,0.0899111111111111,15,,5,,0.0
14,Pre,forage,Forage-to-forage,125.35496957403655,sub103,2,3,50642,,3,20,0.0712888888888889,10,,6,,0.0
15,Pre,forage,Forage-to-forage,425.35496957403655,sub103,2,3,59341,,3,20,0.230933333333333,21,,1,,0.0
16,Pre,forage,Forage-to-forage,467.64705882352945,sub103,2,3,57841,,3,20,0.164266666666667,23,,2,,0.0
17,Pre,forage,Forage-to-forage,124.13793103448279,sub103,3,1,3514,,1,20,0.155911111111111,19,,1,,0.0
18,Pre,forage,Forage-to-forage,111.05476673427995,sub103,3,1,3004,,1,20,0.133244444444444,9,,2,,0.0
19,Pre,forage,Forage-to-forage,94.01622718052738,sub103,3,1,2537,,1,20,0.112488888888889,9,,3,,0.0
20,Pre,forage,Forage-to-forage,237.93103448275863,sub103,3,1,10281,,1,20,0.227688888888889,13,,1,,0.0
21,Pre,forage,Forage-to-forage,63.28600405679515,sub103,3,1,9397,,1,20,0.1884,13,,2,,0.0
22,Pre,forage,Forage-to-forage,412.2718052738337,sub103,3,1,9087,,1,20,0.174622222222222,13,,3,,0.0
23,Pre,forage,Forage-to-forage,79.10750507099391,sub103,3,1,7630,,1,20,0.109866666666667,29,,4,,0.0
24,Pre,forage,Forage-to-forage,407.4036511156187,sub103,3,1,7268,,1,20,0.0937777777777778,29,,5,,0.0
25,Post,forage,Forage-to-forage,80.62880324543613,sub103,3,1,15556,,1,20,,3,,1,,0.0
26,Post,forage,Forage-to-forage,409.2292089249493,sub103,3,1,15189,,1,20,,3,,2,,0.0
27,Post,forage,Forage-to-forage,472.210953346856,sub103,3,1,13742,,1,20,,23,,3,,0.0
28,Post,forage,Forage-to-forage,33.46855983772821,sub103,3,1,19915,,1,20,,8,,1,,0.0
29,Post,forage,Forage-to-forage,80.32454361054766,sub103,3,1,19703,,1,20,,8,,2,,0.0
30,Post,forage,Forage-to-forage,413.48884381338746,sub103,3,1,19337,,1,20,,8,,3,,0.0
31,Pre,forage,Forage-to-forage,62.373225152129805,sub103,3,2,37439,,1,20,0.240888888888889,34,,1,,0.0
32,Pre,forage,Forage-to-forage,60.85192697768764,sub103,3,2,37132,,1,20,0.227244444444444,34,,2,,0.0
33,Pre,forage,Forage-to-forage,65.11156186612578,sub103,3,2,36830,,1,20,0.213822222222222,42,,3,,0.0
34,Pre,forage,Forage-to-forage,79.71602434077079,sub103,3,2,36514,,1,20,0.199777777777778,42,,4,,0.0
35,Pre,forage,Forage-to-forage,172.51521298174444,sub103,3,2,36150,,1,20,0.1836,42,,5,,0.0
36,Pre,forage,Forage-to-forage,160.9533468559838,sub103,3,2,35481,,1,20,0.153866666666667,57,,6,,0.0
37,Pre,forage,Forage-to-forage,78.49898580121703,sub103,3,2,44964,,1,20,0.267866666666667,19,,1,,0.0
38,Pre,forage,Forage-to-forage,62.373225152129805,sub103,3,2,44604,,1,20,0.251866666666667,19,,2,,0.0
39,Pre,forage,Forage-to-forage,80.62880324543613,sub103,3,2,44297,,1,20,0.238222222222222,19,,3,,0.0
40,Pre,forage,Forage-to-forage,64.19878296146044,sub103,3,2,43930,,1,20,0.221911111111111,28,,4,,0.0
41,Pre,forage,Forage-to-forage,80.02028397565925,sub103,3,2,43617,,1,20,0.208,28,,5,,0.0
42,Pre,forage,Forage-to-forage,78.19472616632862,sub103,3,2,43252,,1,20,0.191777777777778,28,,6,,0.0
43,Pre,forage,Forage-to-forage,46.24746450304258,sub103,3,3,67341,,1,20,0.191244444444444,43,,1,,0.0
44,Pre,forage,Forage-to-forage,61.76470588235293,sub103,3,3,67087,,1,20,0.179955555555556,43,,2,,0.0
45,Pre,forage,Forage-to-forage,94.01622718052738,sub103,3,3,66782,,1,20,0.1664,31,,3,,0.0
46,Pre,forage,Forage-to-forage,112.88032454361058,sub103,3,3,66371,,1,20,0.148133333333333,31,,4,,0.0
47,Pre,forage,Forage-to-forage,126.26774847870183,sub103,3,3,65898,,1,20,0.127111111111111,37,,5,,0.0
48,Pre,forage,Forage-to-forage,205.37525354969577,sub103,3,3,65381,,1,20,0.104133333333333,37,,6,,0.0
49,Pre,forage,Forage-to-forage,32.86004056795133,sub103,4,1,6227,,3,15,0.355371428571429,25,,1,,0.0
50,Pre,forage,Forage-to-forage,63.59026369168356,sub103,4,1,6017,,3,15,0.343371428571429,25,,2,,0.0
51,Pre,forage,Forage-to-forage,287.5253549695741,sub103,4,1,5706,,3,15,0.3256,22,,3,,0.0
52,Pre,forage,Forage-to-forage,63.59026369168356,sub103,4,1,4659,,3,15,0.265771428571429,22,,4,,0.0
53,Pre,forage,Forage-to-forage,64.5030425963489,sub103,4,1,4348,,3,15,0.248,22,,5,,0.0
54,Pre,forage,Forage-to-forage,410.7505070993915,sub103,4,1,4034,,3,15,0.230057142857143,22,,6,,0.0
55,Pre,forage,Forage-to-forage,62.373225152129805,sub103,4,1,14543,,3,15,0.712914285714286,15,,1,,0.0
56,Pre,forage,Forage-to-forage,32.25152129817445,sub103,4,1,14236,,3,15,0.695371428571429,15,,2,,0.0
57,Pre,forage,Forage-to-forage,45.6389452332657,sub103,4,1,14028,,3,15,0.683485714285714,15,,3,,0.0
58,Pre,forage,Forage-to-forage,62.98174442190668,sub103,4,1,13776,,3,15,0.669085714285714,25,,4,,0.0
59,Pre,forage,Forage-to-forage,77.89046653144015,sub103,4,1,13467,,3,15,0.651428571428571,25,,5,,0.0
60,Pre,forage,Forage-to-forage,46.551724137931046,sub103,4,1,13109,,3,15,0.630971428571429,25,,6,,0.0
61,Pre,forage,Forage-to-forage,125.65922920892496,sub103,4,2,26975,,3,15,0.112342857142857,35,,1,,0.0
62,Pre,forage,Forage-to-forage,108.92494929006085,sub103,4,2,26460,,3,15,0.0829142857142857,35,,2,,0.0
63,Pre,forage,Forage-to-forage,47.160243407707924,sub103,4,3,46200,,3,15,0.124571428571429,21,,1,,0.0
64,Pre,forage,Forage-to-forage,48.37728194726168,sub103,4,3,45943,,3,15,0.109885714285714,17,,2,,0.0
65,Pre,forage,Forage-to-forage,62.068965517241395,sub103,4,3,45682,,3,15,0.0949714285714286,17,,3,,0.0
66,Pre,forage,Forage-to-forage,62.98174442190668,sub103,4,3,45376,,3,15,0.0774857142857143,17,,4,,0.0
67,Pre,forage,Forage-to-forage,61.76470588235293,sub103,4,3,45067,,3,15,0.0598285714285714,17,,5,,0.0
68,Pre,forage,Forage-to-forage,49.29006085192697,sub103,4,3,44762,,3,15,0.0424,25,,6,,0.0
69,Pre,forage,Forage-to-forage,62.67748478701827,sub103,4,3,52082,,3,15,0.268228571428571,22,,1,,0.0
70,Pre,forage,Forage-to-forage,422.6166328600406,sub103,4,3,51774,,3,15,0.250628571428571,30,,2,,0.0
71,Pre,forage,Forage-to-forage,48.985801217038556,sub103,5,1,7536,,2,20,0.309777777777778,25,,1,,0.0
72,Pre,forage,Forage-to-forage,62.068965517241395,sub103,5,1,7273,,2,20,0.298088888888889,25,,2,,0.0
73,Pre,forage,Forage-to-forage,349.290060851927,sub103,5,1,6967,,2,20,0.284488888888889,19,,3,,0.0
74,Pre,forage,Forage-to-forage,47.464503042596334,sub103,5,1,5717,,2,20,0.228933333333333,18,,4,,0.0
75,Pre,forage,Forage-to-forage,32.25152129817445,sub103,5,1,5459,,2,20,0.217466666666667,18,,5,,0.0
76,Pre,forage,Forage-to-forage,344.421906693712,sub103,5,1,5251,,2,20,0.208222222222222,18,,6,,0.0
77,Pre,forage,Forage-to-forage,64.5030425963489,sub103,5,2,27093,,2,20,0.0925777777777778,32,,1,,0.0
78,Pre,forage,Forage-to-forage,63.59026369168356,sub103,5,2,26779,,2,20,0.0786222222222222,38,,2,,0.0
79,Pre,forage,Forage-to-forage,17.038539553752514,sub103,5,2,26468,,2,20,0.0648,38,,3,,0.0
80,Pre,forage,Forage-to-forage,62.98174442190668,sub103,5,2,26310,,2,20,0.0577777777777778,38,,4,,0.0
81,Pre,forage,Forage-to-forage,47.7687626774848,sub103,5,2,26001,,2,20,0.0440444444444444,25,,5,,0.0
82,Pre,forage,Forage-to-forage,61.76470588235293,sub103,5,2,25742,,2,20,0.0325333333333333,25,,6,,0.0
83,Pre,forage,Forage-to-forage,78.8032454361055,sub103,5,2,34834,,2,20,0.320666666666667,38,,1,,0.0
