"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","proximity","proxHide","posUncertainty","tpDiscovery","threatSearchDelay","caught","afterEpoch","predatorFirstSeen","failedAttempts","maxPossTime","tpEpoch_MinDisc","ParticipantID","checkAction","schedID"
1,"forage","FALSE",1617959834177,8534,8523,1617959825643,1617959825654,2,3,37,37,57,0,"TRUE",5,0.2511,640,512,1,3.5,20,0,1,0,"0","0",4163,"NaN",6680,2355,1589,871,NA,NA,NA,0,32981,50.639,-14.977,-14.977,0.04355,7652,4152,0,0,0,0,25000,871,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959835714,10071,10060,1617959825643,1617959825654,2,3,13,13,70,0,"TRUE",5,0.328,640,512,1,3.5,20,0,1,0,"0","0",1537,"NaN",8217,3892,3126,2408,NA,NA,NA,0,34518,52.176,-13.44,-13.44,0.1204,7652,4152,0,0,0,0,25000,2408,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1617959837354,11711,11700,1617959825643,1617959825654,2,3,8,NA,70,0,"TRUE",5,0.4099,640,512,1,3.5,20,0,1,0,"0","1",1640,"NaN",9857,5532,4766,4048,NA,NA,NA,0,36158,53.816,-11.8,-11.8,0.2024,7652,4152,0,0,0,0,25000,4048,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1617959837970,12327,12316,1617959825643,1617959825654,2,3,4,NA,70,0,"TRUE",5,0.4407,640,512,1,3.5,20,0,1,0,"0","0",2256,"NaN",10473,6148,5382,616,NA,NA,NA,0,36774,54.432,-11.184,-11.184,0.0308,7652,4152,0,0,0,0,25000,4664,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1617959858957,33314,8293,1617959825643,1617959850664,2,3,52,NA,197,0,"TRUE",4,0.2896,640,512,1,2.5,20,1,2,0,"0","0",3144,"NaN",9284,1189,580,21603,NA,NA,NA,0,57761,75.419,-14.207,-14.207,0.029,7713,5213,0,0,0,0,24000,580,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959859527,33884,8863,1617959825643,1617959850664,2,3,52,52,249,0,"TRUE",4,0.318,640,512,1,2.5,20,1,2,0,"0","0",3714,"NaN",9854,1759,570,22173,NA,NA,NA,0,58331,75.989,-13.637,-13.637,0.0285,7713,5213,0,0,0,0,24000,1150,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959861078,35435,10414,1617959825643,1617959850664,2,3,58,58,307,0,"TRUE",4,0.3956,640,512,1,2.5,20,1,2,0,"0","0",1551,"NaN",11405,3310,2121,23724,NA,NA,NA,0,59882,77.54,-12.086,-12.086,0.10605,7713,5213,0,0,0,0,24000,2701,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959862527,36884,11863,1617959825643,1617959850664,2,3,70,70,307,0,"TRUE",4,0.4681,640,512,1,2.5,20,1,2,0,"0","0",1449,"NaN",12854,4759,3570,25173,NA,NA,NA,0,61331,78.989,-10.637,-10.637,0.1785,7713,5213,0,0,0,0,24000,4150,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959862992,37349,12328,1617959825643,1617959850664,2,3,59,59,366,0,"TRUE",4,0.4913,640,512,1,2.5,20,1,2,0,"0","0",465,"NaN",13319,5224,4035,25638,NA,NA,NA,0,61796,79.454,-10.172,-10.172,0.20175,7713,5213,0,0,0,0,24000,4615,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959864186,38543,13522,1617959825643,1617959850664,2,3,57,57,366,0,"TRUE",4,0.551,640,512,1,2.5,20,1,2,0,"0","0",1194,"NaN",14513,6418,5229,26832,NA,NA,NA,0,62990,80.648,-8.978,-8.978,0.26145,7713,5213,0,0,0,0,24000,5809,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959864546,38903,13882,1617959825643,1617959850664,2,3,57,57,423,0,"TRUE",4,0.569,640,512,1,2.5,20,1,2,0,"0","0",360,"NaN",14873,6778,5589,27192,NA,NA,NA,0,63350,81.008,-8.618,-8.618,0.27945,7713,5213,0,0,0,0,24000,6169,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959864803,39160,14139,1617959825643,1617959850664,2,3,48,48,423,0,"TRUE",4,0.5818,640,512,1,2.5,20,1,2,0,"0","0",257,"NaN",15130,7035,5846,27449,NA,NA,NA,0,63607,81.265,-8.361,-8.361,0.2923,7713,5213,0,0,0,0,24000,6426,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","TRUE",1617959865927,40284,15263,1617959825643,1617959850664,2,3,57,NA,423,0,"TRUE",4,0.6381,640,512,1,2.5,20,1,2,0,"0","0",1124,"NaN",16254,8159,6970,28573,NA,NA,NA,0,64731,82.389,-7.237,-7.237,0.3485,7713,5213,0,0,0,0,24000,7550,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1617959866444,40801,15780,1617959825643,1617959850664,2,3,57,NA,423,0,"TRUE",4,0.6639,640,512,1,2.5,20,1,2,0,"0","0",1641,"NaN",16771,8676,7487,29090,NA,NA,NA,0,65248,82.906,-6.72,-6.72,0.37435,7713,5213,0,0,0,0,24000,8067,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1617959887712,62069,13031,1617959825643,1617959874681,2,3,2,NA,499,0,"TRUE",3,0.2263,640,512,1,8.5,20,2,3,0,"1","0",2728,"NaN",13805,825,7007,6487,NA,NA,NA,0,86516,104.174,-15.469,-15.469,0.04125,12206,3706,0,0,0,0,30000,825,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959888277,62634,13596,1617959825643,1617959874681,2,3,2,2,501,0,"TRUE",3,0.2546,640,512,1,8.5,20,2,3,0,"0","0",3293,"NaN",14370,565,7572,7052,NA,NA,NA,0,87081,104.739,-14.904,-14.904,0.02825,12206,3706,0,0,0,0,30000,1390,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
