"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","afterEpoch","failedAttempts","discovery","firstCheck_corrected","lastCheck_corrected","pPredator","timePressure","recheck","ParticipantIDs","checkAction","schedID"
3,"vigilence3","FALSE",1622797870602,1271,1260,1622797869331,1622797869342,0,4,18,NA,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"1","0",NA,"NaN",NA,NA,NA,NA,NA,NA,NA,0,50532,68.19,0,0,0,1,0,0.12,0.056,0,"sub228",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","TRUE",1622797871054,1723,1712,1622797869331,1622797869342,0,4,18,NA,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"1","0",NA,"NaN",NA,452,NA,NA,NA,NA,NA,0,50984,68.642,0,0,0,0,0,0.163047619047619,0.0760888888888889,1,"sub228",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1622797871426,2095,2084,1622797869331,1622797869342,0,4,29,NA,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",NA,824,372,NA,NA,NA,NA,0,51356,69.014,0,0,0,0,0,0.19847619047619,0.0926222222222222,1,"sub228",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1622797872045,2714,2703,1622797869331,1622797869342,0,4,29,NA,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",NA,1443,619,NA,NA,NA,NA,0,51975,69.633,0,0,0,0,0,0.257428571428571,0.120133333333333,1,"sub228",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622797872826,3495,3484,1622797869331,1622797869342,0,4,41,41,41,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",NA,2224,1400,781,NA,NA,NA,0,52756,70.414,0,0,0,0,0,0.331809523809524,0.154844444444444,1,"sub228",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
6,"vigilence6","TRUE",1622797873492,4161,4150,1622797869331,1622797869342,0,4,90,NA,41,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",666,"NaN",NA,2890,2066,1447,NA,NA,NA,0,53422,71.08,0,0,0,0,1,0.395238095238095,0.184444444444444,1,"sub228",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
6,"vigilence6","TRUE",1622797874004,4673,4662,1622797869331,1622797869342,0,4,90,NA,41,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1178,"NaN",NA,3402,2578,1959,512,NA,NA,0,53934,71.592,0,0,0,1,0,0.444,0.1512,0,"sub228",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
6,"vigilence6","TRUE",1622797874321,4990,4979,1622797869331,1622797869342,0,4,90,NA,41,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1495,"NaN",NA,3719,2895,2276,317,NA,NA,0,54251,71.909,0,0,0,0,0,0.474190476190476,0.165288888888889,1,"sub228",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622797874845,5514,5503,1622797869331,1622797869342,0,4,70,70,111,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",2019,"NaN",NA,4243,3419,2800,524,NA,NA,0,54775,72.433,0,0,0,0,0,0.524095238095238,0.188577777777778,1,"sub228",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
6,"vigilence6","TRUE",1622797875460,6129,6118,1622797869331,1622797869342,0,4,57,NA,111,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",615,"NaN",NA,4858,4034,3415,1139,NA,NA,0,55390,73.048,0,0,0,0,0,0.582666666666667,0.215911111111111,1,"sub228",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
